other,disk,cigar,unknown,triangle,oval,light,rectangle,cylinder,fireball,sphere,nan,circle,formation,flash,chevron,egg,cone,diamond,changing,teardrop,cross,delta,round,dome,changed,pyramid,crescent,flare,hexagon,Year
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1906
1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1910
1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1916
1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1920
1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1925
1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1929
1.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1930
1.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1931
1.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1933
1.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1934
1.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1936
1.0,5.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1937
1.0,5.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1939
1.0,6.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1941
1.0,6.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1942
2.0,7.0,4.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1943
2.0,11.0,6.0,3.0,1.0,2.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944
2.0,15.0,6.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1945
2.0,18.0,7.0,3.0,1.0,4.0,4.0,3.0,2.0,3.0,7.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1946
5.0,29.0,10.0,7.0,2.0,7.0,5.0,3.0,4.0,3.0,7.0,3.0,5.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1947
5.0,30.0,10.0,7.0,2.0,9.0,6.0,4.0,4.0,3.0,8.0,3.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1948
7.0,35.0,11.0,8.0,2.0,9.0,9.0,4.0,5.0,3.0,8.0,3.0,9.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949
9.0,48.0,12.0,8.0,3.0,13.0,12.0,4.0,5.0,3.0,10.0,3.0,10.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950
9.0,57.0,16.0,9.0,3.0,14.0,12.0,4.0,5.0,3.0,12.0,4.0,12.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1951
15.0,74.0,18.0,9.0,5.0,19.0,13.0,4.0,7.0,4.0,16.0,5.0,19.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1952
18.0,82.0,21.0,9.0,5.0,21.0,15.0,4.0,8.0,8.0,18.0,8.0,22.0,6.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1953
22.0,99.0,23.0,12.0,6.0,24.0,20.0,4.0,9.0,10.0,18.0,9.0,32.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1954
22.0,108.0,26.0,12.0,6.0,25.0,26.0,4.0,9.0,14.0,18.0,11.0,37.0,7.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1955
26.0,118.0,31.0,15.0,7.0,26.0,30.0,5.0,10.0,15.0,22.0,11.0,43.0,8.0,2.0,3.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1956
28.0,138.0,39.0,19.0,9.0,28.0,39.0,5.0,12.0,19.0,26.0,16.0,47.0,10.0,2.0,3.0,4.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1957
30.0,148.0,41.0,23.0,10.0,33.0,47.0,5.0,13.0,22.0,28.0,17.0,51.0,10.0,2.0,3.0,4.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1958
33.0,160.0,44.0,31.0,10.0,36.0,54.0,6.0,15.0,23.0,31.0,17.0,56.0,12.0,2.0,3.0,4.0,1.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1959
42.0,177.0,51.0,34.0,13.0,42.0,56.0,6.0,17.0,24.0,36.0,18.0,62.0,14.0,2.0,3.0,4.0,1.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960
42.0,188.0,56.0,38.0,15.0,43.0,61.0,6.0,17.0,24.0,43.0,19.0,69.0,14.0,3.0,3.0,6.0,1.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961
48.0,211.0,58.0,45.0,17.0,48.0,67.0,7.0,19.0,24.0,52.0,21.0,73.0,14.0,3.0,4.0,6.0,1.0,10.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962
56.0,237.0,63.0,54.0,23.0,53.0,74.0,9.0,20.0,24.0,56.0,22.0,81.0,16.0,3.0,4.0,6.0,1.0,11.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963
62.0,257.0,69.0,59.0,24.0,56.0,87.0,10.0,21.0,29.0,63.0,25.0,93.0,18.0,3.0,4.0,6.0,1.0,12.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964
68.0,295.0,81.0,69.0,31.0,76.0,113.0,11.0,27.0,42.0,84.0,28.0,105.0,20.0,4.0,4.0,13.0,1.0,12.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1965
84.0,353.0,92.0,81.0,43.0,93.0,132.0,13.0,29.0,43.0,98.0,29.0,123.0,20.0,5.0,8.0,15.0,1.0,15.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966
97.0,392.0,107.0,94.0,52.0,104.0,163.0,13.0,32.0,46.0,110.0,31.0,143.0,26.0,5.0,12.0,15.0,1.0,16.0,12.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967
111.0,446.0,125.0,107.0,62.0,116.0,188.0,14.0,34.0,56.0,124.0,33.0,174.0,29.0,7.0,12.0,17.0,2.0,19.0,15.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968
127.0,478.0,139.0,120.0,68.0,126.0,204.0,15.0,39.0,58.0,135.0,35.0,189.0,35.0,8.0,12.0,18.0,3.0,19.0,17.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969
139.0,522.0,141.0,133.0,70.0,140.0,224.0,16.0,44.0,60.0,147.0,39.0,198.0,35.0,8.0,12.0,22.0,4.0,20.0,18.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1970
146.0,558.0,152.0,139.0,77.0,149.0,239.0,17.0,45.0,61.0,153.0,41.0,216.0,38.0,9.0,14.0,22.0,4.0,21.0,19.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1971
152.0,591.0,160.0,151.0,86.0,160.0,265.0,18.0,50.0,66.0,161.0,44.0,238.0,39.0,9.0,17.0,23.0,4.0,23.0,19.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972
162.0,646.0,173.0,164.0,101.0,182.0,289.0,21.0,54.0,72.0,177.0,51.0,262.0,43.0,10.0,19.0,24.0,5.0,26.0,21.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1973
180.0,711.0,188.0,183.0,124.0,202.0,320.0,26.0,58.0,80.0,195.0,56.0,290.0,43.0,11.0,22.0,26.0,6.0,27.0,24.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1974
196.0,788.0,209.0,201.0,150.0,221.0,363.0,31.0,62.0,89.0,217.0,60.0,324.0,47.0,13.0,23.0,30.0,9.0,28.0,27.0,14.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1975
211.0,851.0,224.0,221.0,169.0,243.0,399.0,41.0,67.0,97.0,230.0,68.0,347.0,52.0,16.0,24.0,32.0,9.0,31.0,33.0,15.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1976
