,title,year,genre,country_first,iso3,continent
0,"20,000 Leagues Under the Sea",1916,"Action, Adventure, Sci-Fi",USA,USA,North America
1,L'astronave,1918,"Adventure, Fantasy, Sci-Fi",Denmark,DNK,Europe
2,Algol - Tragödie der Macht,1920,"Fantasy, Sci-Fi",Germany,DEU,Europe
3,Dr. Jekyll e Mr. Hyde,1920,"Drama, Horror, Sci-Fi",USA,USA,North America
4,Black Oxen,1923,"Drama, Romance, Sci-Fi",USA,USA,North America
5,Paris qui dort,1924,Sci-Fi,France,FRA,Europe
6,She,1925,"Adventure, Fantasy, Sci-Fi",United Kingdom,GBR,Europe
7,Metropolis,1927,"Drama, Sci-Fi",Germany,DEU,Europe
8,High Treason,1929,Sci-Fi,United Kingdom,GBR,Europe
9,L'isola misteriosa,1929,"Adventure, Romance, Sci-Fi",USA,USA,North America
10,La fine del mondo,1931,Sci-Fi,France,FRA,Europe
11,Il dottor Jekyll,1931,"Horror, Sci-Fi",USA,USA,North America
12,FP 1 non risponde,1932,Sci-Fi,Germany,DEU,Europe
13,Atlantide,1932,"Fantasy, Sci-Fi",Germany,DEU,Europe
14,The Mask of Fu Manchu,1932,"Adventure, Horror, Sci-Fi",USA,USA,North America
15,Ancora sei ore di vita,1932,"Drama, Mystery, Sci-Fi",USA,USA,North America
16,La distruzione del mondo,1933,"Drama, Sci-Fi",USA,USA,North America
17,F.P.1,1933,"Fantasy, Sci-Fi",United Kingdom,GBR,Europe
18,L'uomo invisibile,1933,"Horror, Sci-Fi",USA,USA,North America
19,L'isola delle anime perdute,1932,"Horror, Sci-Fi",USA,USA,North America
20,King Kong,1933,"Adventure, Horror, Sci-Fi",USA,USA,North America
21,Men Must Fight,1933,"Drama, Sci-Fi, War",USA,USA,North America
22,Oro,1934,"Crime, Sci-Fi",Germany,DEU,Europe
23,L'incredibile realtà,1935,"Drama, Horror, Sci-Fi",USA,USA,North America
24,La moglie di Frankenstein,1935,"Drama, Horror, Sci-Fi",USA,USA,North America
25,La città perduta,1935,Sci-Fi,USA,USA,North America
26,Amore folle,1935,"Horror, Romance, Sci-Fi",USA,USA,North America
27,Once in a New Moon,1934,Sci-Fi,United Kingdom,GBR,Europe
28,The Tunnel,1935,"Drama, Sci-Fi",United Kingdom,GBR,Europe
29,La bambola del diavolo,1936,"Drama, Horror, Sci-Fi",USA,USA,North America
30,Flash Gordon,1936,"Action, Adventure, Sci-Fi",USA,USA,North America
31,Rocket Ship,1936,Sci-Fi,USA,USA,North America
32,Ghost Patrol,1936,"Crime, Romance, Sci-Fi",USA,USA,North America
33,Il raggio invisibile,1936,"Horror, Sci-Fi, Thriller",USA,USA,North America
34,The Man Who Changed His Mind,1936,"Horror, Sci-Fi",United Kingdom,GBR,Europe
35,La vita futura,1936,"Drama, Sci-Fi, War",United Kingdom,GBR,Europe
36,Undersea Kingdom,1936,"Sci-Fi, Adventure",USA,USA,North America
37,Bílá nemoc,1937,"Drama, Fantasy, Sci-Fi",Czechia,CZE,Europe
38,Blake of Scotland Yard,1937,"Adventure, Crime, Sci-Fi",USA,USA,North America
39,Flash Gordon - Alla conquista di Marte,1938,"Action, Adventure, Sci-Fi",USA,USA,North America
40,Mars Attacks the World,1938,"Romance, Sci-Fi",USA,USA,North America
41,Arrest Bulldog Drummond,1938,"Adventure, Sci-Fi",USA,USA,North America
42,Io accuso,1938,"Drama, Horror, Sci-Fi",France,FRA,Europe
43,L'uomo che non poteva essere impiccato,1939,"Crime, Horror, Sci-Fi",USA,USA,North America
44,The Phantom Creeps,1939,"Action, Horror, Sci-Fi",USA,USA,North America
